fold,C,accuracy,precision,recall,auc
0,1,0.34361968306922436,0.08880778588807786,0.6576576576576577,0.4782434088500265
1,1,0.8040033361134279,0.12650602409638553,0.1891891891891892,0.6019061340752517
2,1,0.780650542118432,0.10824742268041238,0.1891891891891892,0.6257079689984102
3,1,0.8021702838063439,0.1111111111111111,0.16216216216216217,0.6024557215909562
4,1,0.7929883138564274,0.06918238993710692,0.0990990990990991,0.5470175787563093
0,10,0.718932443703086,0.09057971014492754,0.22522522522522523,0.5537435413354531
1,10,0.7356130108423686,0.13214285714285715,0.3333333333333333,0.6153285638579757
2,10,0.8490408673894912,0.16346153846153846,0.15315315315315314,0.6777416202967673
3,10,0.7462437395659433,0.1274131274131274,0.2972972972972973,0.5954938379041415
4,10,0.8130217028380634,0.1048951048951049,0.13513513513513514,0.5840315936912074
0,50,0.6013344453711427,0.11205073995771671,0.4774774774774775,0.5459103404875464
1,50,0.7531276063386155,0.14007782101167315,0.32432432432432434,0.6230872416534181
2,50,0.835696413678065,0.16923076923076924,0.1981981981981982,0.6660415010598835
3,50,0.7245409015025042,0.11846689895470383,0.3063063063063063,0.5958750839155623
4,50,0.7487479131886478,0.09745762711864407,0.2072072072072072,0.5668920990908111
0,100,0.6188490408673895,0.1206140350877193,0.4954954954954955,0.5577429451510334
1,100,0.7231025854879066,0.132890365448505,0.36036036036036034,0.6156266560678325
2,100,0.7489574645537949,0.14015151515151514,0.3333333333333333,0.6273805975092739
3,100,0.6869782971619366,0.12285714285714286,0.38738738738738737,0.5945738747026696
4,100,0.7420701168614358,0.0875,0.1891891891891892,0.5665025651226203
0,500,0.609674728940784,0.11777301927194861,0.4954954954954955,0.5555734962904081
1,500,0.7239366138448707,0.14285714285714285,0.3963963963963964,0.6153120031796502
2,500,0.7381150959132611,0.14385964912280702,0.36936936936936937,0.6255672032326445
3,500,0.6277128547579299,0.12359550561797752,0.4954954954954955,0.5966624398087139
4,500,0.7203672787979967,0.09712230215827339,0.24324324324324326,0.5571786137563506
0,1000,0.6046705587989991,0.11789473684210526,0.5045045045045045,0.5517479795972443
1,1000,0.6622185154295246,0.12690355329949238,0.45045045045045046,0.6131177133015369
2,1000,0.7139282735613011,0.14634146341463414,0.43243243243243246,0.6222799085850557
3,1000,0.6444073455759599,0.11864406779661017,0.44144144144144143,0.5972840365664653
4,1000,0.666110183639399,0.09749303621169916,0.3153153153153153,0.5552475198289366
0,5000,0.6063386155129274,0.11349036402569593,0.4774774774774775,0.5545964162692104
1,5000,0.7239366138448707,0.13815789473684212,0.3783783783783784,0.6170757154213036
2,5000,0.7606338615512928,0.15354330708661418,0.35135135135135137,0.6311150304716481
3,5000,0.6477462437395659,0.11793611793611794,0.43243243243243246,0.5929908749595962
4,5000,0.7078464106844741,0.09764309764309764,0.26126126126126126,0.5556950694945175
0,10000,0.5988323603002502,0.11618257261410789,0.5045045045045045,0.5527830219925809
1,10000,0.6972477064220184,0.13372093023255813,0.4144144144144144,0.6140947933227345
2,10000,0.7339449541284404,0.14383561643835616,0.3783783783783784,0.6248633744038156
3,10000,0.6427378964941569,0.1162227602905569,0.43243243243243246,0.5943915396537292
4,10000,0.6260434056761269,0.09397590361445783,0.35135135135135137,0.5550734727367662
0,50000,0.6030025020850709,0.11087420042643924,0.46846846846846846,0.5535282525172232
1,50000,0.6021684737281068,0.13253012048192772,0.5945945945945946,0.6119501854795972
2,50000,0.6271893244370309,0.12666666666666668,0.5135135135135135,0.6225448794382618
3,50000,0.6385642737896494,0.12028301886792453,0.4594594594594595,0.6002345491765915
4,50000,0.6060100166944908,0.10675381263616558,0.44144144144144143,0.5579908335198124
0,100000,0.6296914095079232,0.10823529411764705,0.4144144144144144,0.5473014374668786
1,100000,0.6255212677231026,0.1341991341991342,0.5585585585585585,0.6130597509273981
2,100000,0.6063386155129274,0.12317327766179541,0.5315315315315315,0.6239690977742449
3,100000,0.656093489148581,0.1189873417721519,0.42342342342342343,0.597168005171685
4,100000,0.6243739565943238,0.09738717339667459,0.36936936936936937,0.5544518759790149
0,500000.0,0.6513761467889908,0.09711286089238845,0.3333333333333333,0.5478976218865924
1,500000.0,0.6730608840700584,0.12533333333333332,0.42342342342342343,0.6072800741918389
2,500000.0,0.6822351959966639,0.13114754098360656,0.43243243243243246,0.6155811142024378
3,500000.0,0.6861435726210351,0.11815561959654179,0.36936936936936937,0.6001516696088913
4,500000.0,0.6585976627712855,0.10160427807486631,0.34234234234234234,0.5569382630100201
0,1000000.0,0.6238532110091743,0.11363636363636363,0.45045045045045046,0.5668513182299947
1,1000000.0,0.6839032527105922,0.12777777777777777,0.4144144144144144,0.6070730657127716
2,1000000.0,0.6939115929941618,0.13428571428571429,0.42342342342342343,0.6181977013778484
3,1000000.0,0.6953255425709516,0.1242603550295858,0.3783783783783784,0.6037486428470789
4,1000000.0,0.6636060100166945,0.10109289617486339,0.3333333333333333,0.557800210514102
0,5000000.0,0.18432026688907424,0.09749303621169916,0.9459459459459459,0.7242854067302597
1,5000000.0,0.2043369474562135,0.0935390549662488,0.8738738738738738,0.6461893879173292
2,5000000.0,0.2176814011676397,0.09970958373668926,0.9279279279279279,0.7156572933227344
3,5000000.0,0.20951585976627712,0.10038240917782026,0.9459459459459459,0.7191501529128025
4,5000000.0,0.18614357262103506,0.10073937153419593,0.9819819819819819,0.6995822869787911
