fold,C,accuracy,precision,recall,auc
0,1,0.9074228523769808,0.0,0.0,0.5235865461049284
1,1,0.9074228523769808,0.0,0.0,0.5600655802861686
2,1,0.9074228523769808,0.0,0.0,0.5751771992580816
3,1,0.9073455759599333,0.0,0.0,0.5787977489909413
4,1,0.9073455759599333,0.0,0.0,0.5186023189703043
0,10,0.9074228523769808,0.0,0.0,0.5239094793322734
1,10,0.9074228523769808,0.0,0.0,0.5615146396396397
2,10,0.9074228523769808,0.0,0.0,0.5760217938526763
3,10,0.9073455759599333,0.0,0.0,0.5800243665929039
4,10,0.9073455759599333,0.0,0.0,0.5183868320942837
0,50,0.9074228523769808,0.0,0.0,0.5784437930577636
1,50,0.9074228523769808,0.0,0.0,0.5811142024377318
2,50,0.9074228523769808,0.0,0.0,0.620992315845257
3,50,0.9073455759599333,0.0,0.0,0.623710186727666
4,50,0.9073455759599333,0.0,0.0,0.6502399363484921
0,100,0.9074228523769808,0.0,0.0,0.5772928259141494
1,100,0.9074228523769808,0.0,0.0,0.5625248410174881
2,100,0.9074228523769808,0.0,0.0,0.6224910572337043
3,100,0.9073455759599333,0.0,0.0,0.6252268828165792
4,100,0.9073455759599333,0.0,0.0,0.6489718789626794
0,500,0.9074228523769808,0.0,0.0,0.5753055445151033
1,500,0.9074228523769808,0.0,0.0,0.5681554716481187
2,500,0.9074228523769808,0.0,0.0,0.5802944488606253
3,500,0.9073455759599333,0.0,0.0,0.5831157744681204
4,500,0.9073455759599333,0.0,0.0,0.6476375179227065
0,1000,0.9074228523769808,0.0,0.0,0.5759679716481187
1,1000,0.9074228523769808,0.0,0.0,0.5665987678855327
2,1000,0.9074228523769808,0.0,0.0,0.6312019740328563
3,1000,0.9073455759599333,0.0,0.0,0.6027665199698319
4,1000,0.9073455759599333,0.0,0.0,0.6474966226576162
0,5000,0.9074228523769808,0.0,0.0,0.5758189255431903
1,5000,0.9074228523769808,0.0,0.0,0.5867613937466878
2,5000,0.9074228523769808,0.0,0.0,0.6186075781664017
3,5000,0.9073455759599333,0.0,0.0,0.6343021954797484
4,5000,0.9073455759599333,0.0,0.0,0.6474303190034562
0,10000,0.9074228523769808,0.0,0.0,0.5758023648648649
1,10000,0.9074228523769808,0.0,0.0,0.5784520733969263
2,10000,0.9074228523769808,0.0,0.0,0.5853123343932167
3,10000,0.9073455759599333,0.0,0.0,0.5992026985587244
4,10000,0.9073455759599333,0.0,0.0,0.6475131985711563
0,50000,0.9074228523769808,0.0,0.0,0.6810040739268681
1,50000,0.9074228523769808,0.0,0.0,0.6059717806041336
2,50000,0.9074228523769808,0.0,0.0,0.6355739931107578
3,50000,0.9065108514190318,0.0,0.0,0.5997579916623156
4,50000,0.9073455759599333,0.0,0.0,0.6474800467440762
0,100000,0.9074228523769808,0.0,0.0,0.6796212572866984
1,100000,0.9074228523769808,0.0,0.0,0.6283949390567038
2,100000,0.9074228523769808,0.0,0.0,0.6331975357710652
3,100000,0.9065108514190318,0.0,0.0,0.6323545256387942
4,100000,0.9073455759599333,0.0,0.0,0.6479441723231971
0,500000,0.9074228523769808,0.0,0.0,0.6684013977212506
1,500000,0.9065888240200167,0.0,0.0,0.5768746687864336
2,500000,0.9065888240200167,0.0,0.0,0.5843766560678325
3,500000,0.9056761268781303,0.0,0.0,0.5974788035505607
4,500000,0.9073455759599333,0.0,0.0,0.7004318025477179
0,1000000,0.9074228523769808,0.0,0.0,0.6667950119236884
1,1000000,0.9065888240200167,0.0,0.0,0.5686357313195549
2,1000000,0.9065888240200167,0.0,0.0,0.6847881889242183
3,1000000,0.9056761268781303,0.0,0.0,0.5972550287177703
4,1000000,0.9073455759599333,0.0,0.0,0.6695881714280979
0,5000000,0.9065888240200167,0.0,0.0,0.5417122085320615
1,5000000,0.9065888240200167,0.0,0.0,0.5679774443561209
2,5000000,0.9065888240200167,0.0,0.0,0.5579706544780074
3,5000000,0.9056761268781303,0.0,0.0,0.5615090711686848
4,5000000,0.9073455759599333,0.0,0.0,0.47736559006108226
