fold,C,accuracy,precision,recall,auc
0,1,0.4945788156797331,0.13114754098360656,0.7927927927927928,0.6659504173290939
1,1,0.5020850708924104,0.1426470588235294,0.8738738738738738,0.7319405802861685
2,1,0.5062552126772311,0.1437037037037037,0.8738738738738738,0.6839974165341812
3,1,0.5325542570951586,0.1562021439509954,0.918918918918919,0.7321332371930349
4,1,0.5,0.1390532544378698,0.8468468468468469,0.6953181332206172
0,10,0.5087572977481234,0.13117283950617284,0.7657657657657657,0.6742638778484367
1,10,0.5371142618849041,0.15203761755485892,0.8738738738738738,0.7346813725490197
2,10,0.5137614678899083,0.1413373860182371,0.8378378378378378,0.6865477609962903
3,10,0.5434056761268782,0.15830721003134796,0.9099099099099099,0.7343461216506295
4,10,0.5208681135225376,0.14329738058551617,0.8378378378378378,0.6934947827312132
0,50,0.5187656380316931,0.13364779874213836,0.7657657657657657,0.6760524311075782
1,50,0.5371142618849041,0.1509433962264151,0.8648648648648649,0.7309883412824589
2,50,0.5254378648874062,0.14330218068535824,0.8288288288288288,0.6861171833598303
3,50,0.5425709515859767,0.15912636505460218,0.918918918918919,0.737404377698766
4,50,0.5250417362270451,0.1421875,0.8198198198198198,0.692840034146382
0,100,0.5187656380316931,0.13364779874213836,0.7657657657657657,0.6759613473767885
1,100,0.5371142618849041,0.1509433962264151,0.8648648648648649,0.7297628510863804
2,100,0.5271059216013344,0.14375,0.8288288288288288,0.6859184552199258
3,100,0.5425709515859767,0.15912636505460218,0.918918918918919,0.7369071002925649
4,100,0.5258764607679466,0.14463452566096424,0.8378378378378378,0.6929643534979322
0,500,0.5279399499582986,0.136,0.7657657657657657,0.6764830087440382
1,500,0.5379482902418682,0.15118110236220472,0.8648648648648649,0.7278335320614732
2,500,0.5296080066722268,0.14442700156985872,0.8288288288288288,0.685239467408585
3,500,0.5425709515859767,0.15912636505460218,0.918918918918919,0.7331277920054369
4,500,0.5258764607679466,0.14463452566096424,0.8378378378378378,0.6925499556594312
0,1000,0.5212677231025855,0.13428120063191154,0.7657657657657657,0.6764664480657128
1,1000,0.5387823185988324,0.15141955835962145,0.8648648648648649,0.728106783253842
2,1000,0.5404503753127606,0.14630225080385853,0.8198198198198198,0.6848337307896131
3,1000,0.5417362270450752,0.1588785046728972,0.918918918918919,0.7320337817117946
4,1000,0.5450751252086812,0.1419141914191419,0.7747747747747747,0.6918537672907499
0,5000,0.6972477064220184,0.15193370165745856,0.4954954954954955,0.6779320680975092
1,5000,0.5379482902418682,0.15118110236220472,0.8648648648648649,0.7278832140964494
2,5000,0.5537948290241869,0.1478405315614618,0.8018018018018018,0.684378312135665
3,5000,0.5459098497495827,0.16012558869701726,0.918918918918919,0.7304176301416413
4,5000,0.5283806343906511,0.14641744548286603,0.8468468468468469,0.6939340444400242
0,10000,0.5162635529608006,0.13530326594090203,0.7837837837837838,0.6775677331743508
1,10000,0.5379482902418682,0.15118110236220472,0.8648648648648649,0.7275105988341282
2,10000,0.7322768974145121,0.16772151898734178,0.4774774774774775,0.685073860625331
3,10000,0.7362270450751253,0.1921921921921922,0.5765765765765766,0.7309977871155424
4,10000,0.5258764607679466,0.14463452566096424,0.8378378378378378,0.6922515892157107
0,50000,0.6563803169307757,0.15402298850574714,0.6036036036036037,0.6777913023317435
1,50000,0.6680567139282736,0.17312072892938496,0.6846846846846847,0.7269226947535772
2,50000,0.69557964970809,0.16753926701570682,0.5765765765765766,0.6851318229994701
3,50000,0.7070116861435726,0.18253968253968253,0.6216216216216216,0.7311801221644828
4,50000,0.6393989983305509,0.15483870967741936,0.6486486486486487,0.6913979296683989
0,100000,0.7147623019182652,0.14241486068111456,0.4144144144144144,0.6785613738738738
1,100000,0.6597164303586321,0.17073170731707318,0.6936936936936937,0.7268647323794383
2,100000,0.731442869057548,0.167192429022082,0.4774774774774775,0.6844942368839428
3,100000,0.5968280467445742,0.15682656826568267,0.7657657657657657,0.7301441275682307
4,100000,0.6894824707846411,0.15748031496062992,0.5405405405405406,0.6938511648723241
0,500000,0.5379482902418682,0.13983739837398373,0.7747747747747747,0.6784951311605723
1,500000,0.5429524603836531,0.15151515151515152,0.8558558558558559,0.727841812400636
2,500000,0.5404503753127606,0.14516129032258066,0.8108108108108109,0.6835999602543721
3,500000,0.5442404006677797,0.15748031496062992,0.9009009009009009,0.7311966980780229
4,500000,0.5367278797996661,0.14536741214057508,0.8198198198198198,0.6920112384693802
0,1000000,0.6755629691409508,0.15594059405940594,0.5675675675675675,0.6785530935347112
1,1000000,0.6055045871559633,0.1623134328358209,0.7837837837837838,0.7278583730789614
2,1000000,0.7164303586321935,0.1661807580174927,0.5135135135135135,0.6841961446740858
3,1000000,0.6969949916527546,0.18181818181818182,0.6486486486486487,0.7304176301416412
4,1000000,0.5500834724540902,0.14333333333333334,0.7747747747747747,0.690966955916358
0,5000000,0.6246872393661385,0.14906832298136646,0.6486486486486487,0.6779237877583466
1,5000000,0.6355296080066722,0.16598360655737704,0.7297297297297297,0.7270634605193428
2,5000000,0.6472060050041701,0.15638766519823788,0.6396396396396397,0.6846598436671967
3,5000000,0.6919866444073456,0.18226600985221675,0.6666666666666666,0.7317851430086941
4,5000000,0.6469115191986644,0.15638766519823788,0.6396396396396397,0.693859452829094
