fold,C,accuracy,precision,recall,auc
0,1,0.6547122602168474,0.10026385224274406,0.34234234234234234,0.548634572072072
1,1,0.9065888240200167,0.0,0.0,0.6324605855855856
2,1,0.6346955796497081,0.1390728476821192,0.5675675675675675,0.6235012586115527
3,1,0.9056761268781303,0.0,0.0,0.6332330490564162
4,1,0.6585976627712855,0.10789473684210527,0.36936936936936937,0.5563083782954988
0,10,0.9040867389491243,0.0,0.0,0.5751564984101749
1,10,0.896580483736447,0.0,0.0,0.6250331213566508
2,10,0.8832360300250208,0.08571428571428572,0.02702702702702703,0.6279560810810811
3,10,0.7262103505843072,0.11387900355871886,0.2882882882882883,0.6244146630531175
4,10,0.659432387312187,0.10817941952506596,0.36936936936936937,0.5565155772147492
0,50,0.8798999165971643,0.02857142857142857,0.009009009009009009,0.5753635068892422
1,50,0.7798165137614679,0.11940298507462686,0.21621621621621623,0.6334376656067832
2,50,0.8899082568807339,0.1111111111111111,0.02702702702702703,0.6324191838897721
3,50,0.7136894824707847,0.11333333333333333,0.3063063063063063,0.6243234955286473
4,50,0.657762938230384,0.10761154855643044,0.36936936936936937,0.5584300952286233
0,100,0.8265221017514596,0.07079646017699115,0.07207207207207207,0.574129736354001
1,100,0.7798165137614679,0.11940298507462686,0.21621621621621623,0.6333134605193429
2,100,0.7756463719766472,0.07526881720430108,0.12612612612612611,0.6292146926338102
3,100,0.6460767946577629,0.11735941320293398,0.43243243243243246,0.6205110354144392
4,100,0.657762938230384,0.10761154855643044,0.36936936936936937,0.5582726240499929
0,500,0.6188490408673895,0.1050228310502283,0.4144144144144144,0.5562193627450981
1,500,0.658882402001668,0.1311881188118812,0.4774774774774775,0.6196426205617382
2,500,0.6722268557130943,0.13471502590673576,0.46846846846846846,0.6260764440911499
3,500,0.6310517529215359,0.12128146453089245,0.4774774774774775,0.6198397109160678
4,500,0.657762938230384,0.10761154855643044,0.36936936936936937,0.5628144243599625
0,1000,0.6230191826522101,0.09692671394799054,0.36936936936936937,0.5577843468468469
1,1000,0.700583819849875,0.13529411764705881,0.4144144144144144,0.6281879305776364
2,1000,0.6755629691409508,0.12834224598930483,0.43243243243243246,0.6265567037625861
3,1000,0.6343906510851419,0.11888111888111888,0.4594594594594595,0.6197568313483677
4,1000,0.6585976627712855,0.10789473684210527,0.36936936936936937,0.5567642159178497
0,5000,0.6080066722268557,0.10722100656455143,0.44144144144144143,0.5580658783783783
1,5000,0.6547122602168474,0.13317191283292978,0.4954954954954955,0.6207687466878643
2,5000,0.6622185154295246,0.13613861386138615,0.4954954954954955,0.626962440381558
3,5000,0.6260434056761269,0.12472160356347439,0.5045045045045045,0.6195993601697374
4,5000,0.6352253756260434,0.11374407582938388,0.43243243243243246,0.5718565851960515
0,10000,0.6080066722268557,0.11231101511879049,0.46846846846846846,0.5588276695813461
1,10000,0.6497080900750626,0.1330166270783848,0.5045045045045045,0.6225407392686804
2,10000,0.6505421184320267,0.13679245283018868,0.5225225225225225,0.6286433492315846
3,10000,0.6352253756260434,0.1191588785046729,0.4594594594594595,0.6208342657284698
4,10000,0.6302170283806344,0.11574074074074074,0.45045045045045046,0.573936862345326
0,50000,0.6680567139282736,0.09803921568627451,0.3153153153153153,0.5479473039215687
1,50000,0.6897414512093412,0.119533527696793,0.36936936936936937,0.6048787758346582
2,50000,0.6905754795663053,0.11077844311377245,0.3333333333333333,0.6138629438261791
3,50000,0.6869782971619366,0.10479041916167664,0.3153153153153153,0.6091482466827454
4,50000,0.6686143572621035,0.09142857142857143,0.2882882882882883,0.555976860024698
0,100000,0.6680567139282736,0.09803921568627451,0.3153153153153153,0.5480052662957074
1,100000,0.6980817347789825,0.12312312312312312,0.36936936936936937,0.6189387917329094
2,100000,0.6939115929941618,0.11212121212121212,0.3333333333333333,0.6138877848436672
3,100000,0.6961602671118531,0.1059190031152648,0.3063063063063063,0.6086924090603943
4,100000,0.6686143572621035,0.09142857142857143,0.2882882882882883,0.555976860024698
0,500000.0,0.10925771476230192,0.09414758269720101,1.0,0.540056140699523
1,500000.0,0.11175979983319433,0.09369676320272573,0.990990990990991,0.5306579557498676
2,500000.0,0.09841534612176814,0.09312080536912752,1.0,0.5473014374668786
3,500000.0,0.12020033388981637,0.09458297506448839,0.990990990990991,0.5473035132648748
4,500000.0,0.6477462437395659,0.10432569974554708,0.36936936936936937,0.5574272524594512
0,1000000.0,0.10758965804837364,0.09398814563928874,1.0,0.5655885665076842
1,1000000.0,0.11009174311926606,0.0935374149659864,0.990990990990991,0.601492117117117
2,1000000.0,0.097581317764804,0.09304274937133278,1.0,0.5521123145204028
3,1000000.0,0.10517529215358931,0.09314140558848434,0.990990990990991,0.5799995027225937
4,1000000.0,0.10267111853088481,0.0929054054054054,0.990990990990991,0.5695981169762219
0,5000000.0,0.10091743119266056,0.09335576114381834,1.0,0.573984830418654
1,5000000.0,0.11009174311926606,0.0935374149659864,0.990990990990991,0.6322287360890302
2,5000000.0,0.0950792326939116,0.09280936454849498,1.0,0.5682175741918388
3,5000000.0,0.09682804674457429,0.09304274937133278,1.0,0.6204654516522041
4,5000000.0,0.10267111853088481,0.0929054054054054,0.990990990990991,0.586708603727923
