fold,C,accuracy,precision,recall,auc
0,0.1,0.79232693911593,0.27884615384615385,0.7837837837837838,0.8693321078431372
1,0.1,0.8206839032527106,0.3129496402877698,0.7837837837837838,0.8868284644939057
2,0.1,0.8098415346121768,0.3016949152542373,0.8018018018018018,0.8681355988341283
3,0.1,0.8180300500834724,0.313588850174216,0.8108108108108109,0.8935992109865155
4,0.1,0.7804674457429048,0.2696969696969697,0.8018018018018018,0.8898654864616227
0,0.5,0.8457047539616347,0.34959349593495936,0.7747747747747747,0.8957546701112878
1,0.5,0.8698915763135947,0.39819004524886875,0.7927927927927928,0.9017993177000532
2,0.5,0.8490408673894912,0.35772357723577236,0.7927927927927928,0.8902275437201908
3,0.5,0.8664440734557596,0.3939393939393939,0.8198198198198198,0.9119653231888741
4,0.5,0.83889816360601,0.3373015873015873,0.7657657657657657,0.9072950595489694
0,1.0,0.8682235195996664,0.3886255924170616,0.7387387387387387,0.9014929451510334
1,1.0,0.8748957464553795,0.4010152284263959,0.7117117117117117,0.9001018481717011
2,1.0,0.8640533778148457,0.38288288288288286,0.7657657657657657,0.891809088500265
3,1.0,0.8939899833055092,0.4595959595959596,0.8198198198198198,0.9147666525771401
4,1.0,0.8622704507512521,0.3794642857142857,0.7657657657657657,0.9087454519837224
0,5.0,0.890742285237698,0.4382716049382716,0.6396396396396397,0.9049872482776895
1,5.0,0.9057547956630525,0.4930555555555556,0.6396396396396397,0.8912087639109697
2,5.0,0.8999165971643036,0.47058823529411764,0.6486486486486487,0.8876109565447802
3,5.0,0.9273789649415692,0.5857142857142857,0.7387387387387387,0.9110785118144824
4,5.0,0.9056761268781303,0.4935064935064935,0.6846846846846847,0.9003414638189247
0,10.0,0.9007506255212677,0.4726027397260274,0.6216216216216216,0.9074547893481718
1,10.0,0.9199332777314428,0.5630252100840336,0.6036036036036037,0.8919208730789613
2,10.0,0.9124270225187656,0.5227272727272727,0.6216216216216216,0.8841663354531002
3,10.0,0.9290484140233722,0.6031746031746031,0.6846846846846847,0.9043652668307682
4,10.0,0.9065108514190318,0.49635036496350365,0.6126126126126126,0.8948631243939431
0,50.0,0.9099249374478732,0.512396694214876,0.5585585585585585,0.8979406796502385
1,50.0,0.920767306088407,0.5784313725490197,0.5315315315315315,0.892467375463699
2,50.0,0.9165971643035863,0.5523809523809524,0.5225225225225225,0.885706478537361
3,50.0,0.9323873121869783,0.6293103448275862,0.6576576576576577,0.8874992748037827
4,50.0,0.9148580968280468,0.5384615384615384,0.5675675675675675,0.8916391092104065
0,100.0,0.9165971643035863,0.5462184873949579,0.5855855855855856,0.8985782657657657
1,100.0,0.9241034195162635,0.6020408163265306,0.5315315315315315,0.8852220786963434
2,100.0,0.9182652210175146,0.5607476635514018,0.5405405405405406,0.8814172628510863
3,100.0,0.9315525876460768,0.6306306306306306,0.6306306306306306,0.8887424683192853
4,100.0,0.9115191986644408,0.5210084033613446,0.5585585585585585,0.8953769777136842
0,500.0,0.9165971643035863,0.5470085470085471,0.5765765765765766,0.8948521131425544
1,500.0,0.9241034195162635,0.6063829787234043,0.5135135135135135,0.8762047893481717
2,500.0,0.9165971643035863,0.5486725663716814,0.5585585585585585,0.8760350423953365
3,500.0,0.9307178631051753,0.6296296296296297,0.6126126126126126,0.8889413792817656
4,500.0,0.9065108514190318,0.4959349593495935,0.5495495495495496,0.8949542919184132
0,1000.0,0.9149291075896581,0.5384615384615384,0.5675675675675675,0.8936100622681505
1,1000.0,0.9199332777314428,0.5789473684210527,0.4954954954954955,0.8716671634870166
2,1000.0,0.9165971643035863,0.5495495495495496,0.5495495495495496,0.8763745363010068
3,1000.0,0.9323873121869783,0.6415094339622641,0.6126126126126126,0.8878888087719735
4,1000.0,0.9065108514190318,0.496,0.5585585585585585,0.8958493912495753
0,5000.0,0.9124270225187656,0.5272727272727272,0.5225225225225225,0.8924176934287229
1,5000.0,0.9190992493744787,0.57,0.5135135135135135,0.8707314851616322
2,5000.0,0.9165971643035863,0.5495495495495496,0.5495495495495496,0.8658667859035505
3,5000.0,0.9365609348914858,0.6666666666666666,0.6306306306306306,0.8905160910680691
4,5000.0,0.9081803005008348,0.5040650406504065,0.5585585585585585,0.8964378361802465
0,10000.0,0.9149291075896581,0.5428571428571428,0.5135135135135135,0.8894947337042926
1,10000.0,0.9190992493744787,0.57,0.5135135135135135,0.8707232048224696
2,10000.0,0.9065888240200167,0.4957983193277311,0.5315315315315315,0.8519144144144144
3,10000.0,0.9365609348914858,0.6666666666666666,0.6306306306306306,0.890524379024839
4,10000.0,0.9081803005008348,0.5040650406504065,0.5585585585585585,0.8964046843531666
0,50000.0,0.9099249374478732,0.5132743362831859,0.5225225225225225,0.8858182631160572
1,50000.0,0.9157631359466222,0.5480769230769231,0.5135135135135135,0.8671709393216745
2,50000.0,0.9074228523769808,0.5,0.5405405405405406,0.8463583068362479
3,50000.0,0.9365609348914858,0.6666666666666666,0.6306306306306306,0.890524379024839
4,50000.0,0.9081803005008348,0.5040650406504065,0.5585585585585585,0.8965372916614867
0,100000.0,0.9099249374478732,0.5132743362831859,0.5225225225225225,0.8859838698993111
1,100000.0,0.9157631359466222,0.5480769230769231,0.5135135135135135,0.867295144409115
2,100000.0,0.9074228523769808,0.5,0.5405405405405406,0.8457207207207208
3,100000.0,0.9365609348914858,0.6605504587155964,0.6486486486486487,0.8891485782010161
4,100000.0,0.9081803005008348,0.504,0.5675675675675675,0.8970179931541478
0,500000.0,0.9049207673060884,0.488,0.5495495495495496,0.8842035969793323
1,500000.0,0.9074228523769808,0.5,0.5765765765765766,0.8625008280339163
2,500000.0,0.9074228523769808,0.5,0.5495495495495496,0.8449754901960785
3,500000.0,0.9365609348914858,0.6605504587155964,0.6486486486486487,0.8891568661577862
4,500000.0,0.9081803005008348,0.504,0.5675675675675675,0.8970677208947678
