fold,C,accuracy,precision,recall,auc
0,1,0.6972477064220184,0.1971153846153846,0.7387387387387387,0.782889507154213
1,1,0.7564637197664721,0.2298507462686567,0.6936936936936937,0.7724935413354531
2,1,0.6864053377814846,0.17121588089330025,0.6216216216216216,0.6968402225755167
3,1,0.5918196994991652,0.1551094890510949,0.7657657657657657,0.7883380160289085
4,1,0.7095158597662772,0.18733509234828497,0.6396396396396397,0.7399156286000812
0,10,0.7397831526271893,0.21690140845070421,0.6936936936936937,0.7800741918388977
1,10,0.7781484570475397,0.22614840989399293,0.5765765765765766,0.7730110625331212
2,10,0.7406171809841534,0.19696969696969696,0.5855855855855856,0.7142744766825648
3,10,0.7754590984974958,0.25,0.7117117117117117,0.798072221255294
4,10,0.7629382303839732,0.21070234113712374,0.5675675675675675,0.759715557323653
0,50,0.7431192660550459,0.22408963585434175,0.7207207207207207,0.7797015765765767
1,50,0.7764804003336113,0.21863799283154123,0.5495495495495496,0.7771056902490726
2,50,0.7639699749791493,0.21140939597315436,0.5675675675675675,0.7272580484896661
3,50,0.7813021702838063,0.254071661237785,0.7027027027027027,0.7980266374930589
4,50,0.7771285475792988,0.22535211267605634,0.5765765765765766,0.7635860331352513
0,100,0.74395329441201,0.22777777777777777,0.7387387387387387,0.7783767223105458
1,100,0.7773144286905754,0.21942446043165467,0.5495495495495496,0.776894541600424
2,100,0.7648040033361134,0.2159468438538206,0.5855855855855856,0.7321434485956544
3,100,0.7829716193656093,0.25573770491803277,0.7027027027027027,0.7962074309820399
4,100,0.7804674457429048,0.22857142857142856,0.5765765765765766,0.7625500385389989
0,500,0.749791492910759,0.2276657060518732,0.7117117117117117,0.7789356452040276
1,500,0.7798165137614679,0.22181818181818183,0.5495495495495496,0.7685520998940116
2,500,0.7706422018348624,0.21724137931034482,0.5675675675675675,0.735737115792263
3,500,0.7712854757929883,0.24290220820189273,0.6936936936936937,0.7942141773788509
4,500,0.7796327212020033,0.2277580071174377,0.5765765765765766,0.7600470755944537
0,1000,0.749791492910759,0.2276657060518732,0.7117117117117117,0.7734789016958135
1,1000,0.7906588824020017,0.23282442748091603,0.5495495495495496,0.7647679848966614
2,1000,0.7789824854045038,0.22302158273381295,0.5585585585585585,0.7410282525172232
3,1000,0.7813021702838063,0.25245901639344265,0.6936936936936937,0.7935925806210994
4,1000,0.7888146911519198,0.23308270676691728,0.5585585585585585,0.7603164341894793
0,5000,0.7589658048373644,0.22530864197530864,0.6576576576576577,0.7712514904610493
1,5000,0.7823185988323603,0.22826086956521738,0.5675675675675675,0.7566118508214096
2,5000,0.7773144286905754,0.22727272727272727,0.5855855855855856,0.7436862413884473
3,5000,0.7846410684474123,0.2558139534883721,0.6936936936936937,0.7885783667752387
4,5000,0.8030050083472454,0.24489795918367346,0.5405405405405406,0.7645640120341133
0,10000,0.7572977481234362,0.22392638036809817,0.6576576576576577,0.7700632617912029
1,10000,0.786488740617181,0.23247232472324722,0.5675675675675675,0.7586529544250131
2,10000,0.7848206839032527,0.22878228782287824,0.5585585585585585,0.7402250596184419
3,10000,0.8146911519198664,0.2788844621513944,0.6306306306306306,0.7832450665937326
4,10000,0.8021702838063439,0.24390243902439024,0.5405405405405406,0.7607432639631351
0,50000,0.7648040033361134,0.2302839116719243,0.6576576576576577,0.7704979795972443
1,50000,0.7239366138448707,0.21204188481675393,0.7297297297297297,0.7479381955484897
2,50000,0.6346955796497081,0.16288659793814433,0.7117117117117117,0.741028252517223
3,50000,0.5776293823038398,0.15411558669001751,0.7927927927927928,0.7796439493771601
4,50000,0.6452420701168614,0.17016806722689076,0.7297297297297297,0.7609670387959255
0,100000,0.36447039199332776,0.1210710128055879,0.9369369369369369,0.7715206014838367
1,100000,0.408673894912427,0.12342569269521411,0.8828828828828829,0.744675741918389
2,100000,0.7581317764804003,0.21035598705501618,0.5855855855855856,0.7399600887652359
3,100000,0.654424040066778,0.17419354838709677,0.7297297297297297,0.7803442817242265
4,100000,0.3656093489148581,0.11868390129259694,0.9099099099099099,0.7608261435308353
0,500000,0.7723102585487907,0.23178807947019867,0.6306306306306306,0.7705104001059883
1,500000,0.7939949958298582,0.23228346456692914,0.5315315315315315,0.7446094992050873
2,500000,0.7931609674728941,0.23137254901960785,0.5315315315315315,0.7407964030206676
3,500000,0.7913188647746243,0.256140350877193,0.6576576576576577,0.7792875672360493
4,500000,0.7863105175292153,0.23048327137546468,0.5585585585585585,0.7585552433758507
0,1000000,0.7823185988323603,0.2302158273381295,0.5765765765765766,0.7703158121356651
1,1000000,0.8031693077564637,0.2384937238493724,0.5135135135135135,0.7459674748277689
2,1000000,0.76814011676397,0.2150170648464164,0.5675675675675675,0.7408750662427134
3,1000000,0.828881469115192,0.29385964912280704,0.6036036036036037,0.780547336665092
4,1000000,0.7988313856427379,0.24,0.5405405405405406,0.7582237251050499
0,5000000,0.45037531276063386,0.13368983957219252,0.9009009009009009,0.7716241057233705
1,5000000,0.3386155129274395,0.11425339366515837,0.9099099099099099,0.7462407260201378
2,5000000,0.33611342785654713,0.11731843575418995,0.9459459459459459,0.7410737943826179
3,5000000,0.5592654424040067,0.1507537688442211,0.8108108108108109,0.780568056557017
4,5000000,0.46410684474123537,0.13379310344827586,0.8738738738738738,0.7601216672053839
