fold,C,accuracy,precision,recall,auc
0,1,0.6472060050041701,0.1372093023255814,0.5315315315315315,0.6393249867514573
1,1,0.5996663886572143,0.141747572815534,0.6576576576576577,0.678205319289878
2,1,0.6238532110091743,0.13983050847457626,0.5945945945945946,0.6667453298887123
3,1,0.6377295492487479,0.13544018058690746,0.5405405405405406,0.6451345549781613
4,1,0.6101836393989983,0.12127659574468085,0.5135135135135135,0.6310906122313665
0,10,0.45954962468723937,0.08242612752721618,0.4774774774774775,0.44461281134075253
1,10,0.5821517931609674,0.1348314606741573,0.6486486486486487,0.6649650569687333
2,10,0.6880733944954128,0.16876574307304787,0.6036036036036037,0.7142082339692635
3,10,0.4974958263772955,0.0817717206132879,0.43243243243243246,0.40896922681651293
4,10,0.4073455759599332,0.08460471567267684,0.5495495495495496,0.41483295623130034
0,50,0.6196830692243537,0.13062098501070663,0.5495495495495496,0.6301006889242183
1,50,0.5954962468723937,0.13333333333333333,0.6126126126126126,0.6592847443031268
2,50,0.6346955796497081,0.1422319474835886,0.5855855855855856,0.6655943627450981
3,50,0.5809682804674458,0.1218568665377176,0.5675675675675675,0.6446372775719602
4,50,0.6343906510851419,0.1342281879194631,0.5405405405405406,0.654993079556097
0,100,0.6205170975813178,0.12931034482758622,0.5405405405405406,0.6381326179120297
1,100,0.5863219349457881,0.1347248576850095,0.6396396396396397,0.658953530736619
2,100,0.664720600500417,0.1592505854800937,0.6126126126126126,0.7005125529941707
3,100,0.5984974958263773,0.12701612903225806,0.5675675675675675,0.6501404808672517
4,100,0.6285475792988314,0.12723214285714285,0.5135135135135135,0.6408206734793671
0,500,0.42535446205170974,0.07624633431085044,0.46846846846846846,0.4142984896661367
1,500,0.5804837364470392,0.13018867924528302,0.6216216216216216,0.6517827570217275
2,500,0.37447873227689743,0.06998654104979811,0.46846846846846846,0.3747805710121886
3,500,0.46410684474123537,0.07923930269413629,0.45045045045045046,0.394771956869473
4,500,0.4674457429048414,0.09147286821705426,0.5315315315315315,0.46141127327879855
0,1000,0.43286071726438696,0.07726597325408618,0.46846846846846846,0.42220621356650767
1,1000,0.6121768140116765,0.1297071129707113,0.5585585585585585,0.6531821343402225
2,1000,0.37281067556296915,0.06864064602960969,0.4594594594594595,0.3635855524642289
3,1000,0.46410684474123537,0.07790143084260731,0.44144144144144143,0.38737081147384733
4,1000,0.43906510851419034,0.08196721311475409,0.4954954954954955,0.40637924032588246
0,5000,0.4487072560467056,0.07822085889570553,0.4594594594594595,0.40161301006889244
1,5000,0.42285237698081735,0.06446776611694154,0.38738738738738737,0.3530529610492845
2,5000,0.40950792326939117,0.06423357664233577,0.3963963963963964,0.3591141693163752
3,5000,0.4582637729549249,0.0770440251572327,0.44144144144144143,0.37720977647380594
4,5000,0.4257095158597663,0.0824891461649783,0.5135135135135135,0.40521892637808
0,10000,0.43286071726438696,0.07600596125186289,0.4594594594594595,0.40244932432432434
1,10000,0.39115929941618016,0.06223479490806223,0.3963963963963964,0.3486064189189189
2,10000,0.37281067556296915,0.06747638326585695,0.45045045045045046,0.35754918521462636
3,10000,0.4340567612687813,0.07496251874062969,0.45045045045045046,0.37599144682861335
4,10000,0.4023372287145242,0.08044382801664356,0.5225225225225225,0.40354475911053644
0,50000,0.6063386155129274,0.12159329140461216,0.5225225225225225,0.6025188791732909
1,50000,0.6288573811509591,0.13852813852813853,0.5765765765765766,0.6581586181770005
2,50000,0.646371976647206,0.14187643020594964,0.5585585585585585,0.6616363606253312
3,50000,0.6444073455759599,0.13793103448275862,0.5405405405405406,0.631774368664893
4,50000,0.6218697829716193,0.11312217194570136,0.45045045045045046,0.5988504603959985
0,100000,0.603836530442035,0.1192468619246862,0.5135135135135135,0.607735492845787
1,100000,0.6246872393661385,0.13704496788008566,0.5765765765765766,0.6562789811870694
2,100000,0.6330275229357798,0.14316702819956617,0.5945945945945946,0.6790085121886592
3,100000,0.6393989983305509,0.13439635535307518,0.5315315315315315,0.63269018788798
4,100000,0.6118530884808013,0.11353711790393013,0.46846846846846846,0.6052487630224521
0,500000,0.176814011676397,0.09963436928702012,0.9819819819819819,0.7824340885002651
1,500000,0.20767306088407006,0.10009532888465204,0.9459459459459459,0.7607685810810811
2,500000,0.21267723102585487,0.10371075166508087,0.9819819819819819,0.7677489069952306
3,500000,0.20868113522537562,0.10180780209324453,0.963963963963964,0.7945954233902717
4,500000,0.2028380634390651,0.1018867924528302,0.972972972972973,0.7780360857637768
0,1000000,0.17097581317764804,0.09900090826521345,0.9819819819819819,0.7820697535771064
1,1000000,0.20016680567139283,0.1,0.954954954954955,0.7626730590885002
2,1000000,0.20767306088407006,0.10312204351939451,0.9819819819819819,0.7664074920508743
3,1000000,0.2003338898163606,0.10159924741298212,0.972972972972973,0.7901033508209221
4,1000000,0.19198664440734559,0.1013953488372093,0.9819819819819819,0.775823201306182
0,5000000,0.16930775646371976,0.09882139619220308,0.9819819819819819,0.7827901430842608
1,5000000,0.19432860717264386,0.10009354536950421,0.963963963963964,0.7635590553789083
2,5000000,0.20683903252710592,0.10302457466918714,0.9819819819819819,0.7533328365129837
3,5000000,0.1994991652754591,0.10150375939849623,0.972972972972973,0.7829591320851671
4,5000000,0.18614357262103506,0.1,0.972972972972973,0.7750192694994903
