fold,C,accuracy,precision,recall,auc
0,1,0.9074228523769808,0.0,0.0,0.4344197138314786
1,1,0.9074228523769808,0.0,0.0,0.377931240063593
2,1,0.9074228523769808,0.0,0.0,0.40696210916799147
3,1,0.9073455759599333,0.0,0.0,0.4126615115575557
4,1,0.9073455759599333,0.0,0.0,0.4585394962579875
0,10,0.9074228523769808,0.0,0.0,0.7744766825649179
1,10,0.9074228523769808,0.0,0.0,0.8216000927397987
2,10,0.9074228523769808,0.0,0.0,0.8419448860625331
3,10,0.9073455759599333,0.0,0.0,0.8378419818162228
4,10,0.9073455759599333,0.0,0.0,0.8655030375361562
0,50,0.9074228523769808,0.0,0.0,0.827156200317965
1,50,0.9074228523769808,0.0,0.0,0.829764507154213
2,50,0.9074228523769808,0.0,0.0,0.8414729067302597
3,50,0.9073455759599333,0.0,0.0,0.8289738680723041
4,50,0.9073455759599333,0.0,0.0,0.8443107320752214
0,100,0.9074228523769808,0.0,0.0,0.8217822602013778
1,100,0.9074228523769808,0.0,0.0,0.8261294382617912
2,100,0.9074228523769808,0.0,0.0,0.8373161764705883
3,100,0.9073455759599333,0.0,0.0,0.822716460710941
4,100,0.9073455759599333,0.0,0.0,0.8356498172505531
0,500,0.9074228523769808,0.0,0.0,0.8110343799682035
1,500,0.9074228523769808,0.0,0.0,0.8235211314255432
2,500,0.9074228523769808,0.0,0.0,0.8344677397986222
3,500,0.9065108514190318,0.0,0.0,0.8175696395567601
4,500,0.9073455759599333,0.0,0.0,0.8215768666550636
0,1000,0.9074228523769808,0.0,0.0,0.8095770402755696
1,1000,0.9074228523769808,0.0,0.0,0.823206478537361
2,1000,0.9074228523769808,0.0,0.0,0.8337970323264441
3,1000,0.9065108514190318,0.0,0.0,0.8104502846913151
4,1000,0.9073455759599333,0.0,0.0,0.819380558111009
0,5000,0.9074228523769808,0.0,0.0,0.8078961314255432
1,5000,0.9074228523769808,0.0,0.0,0.8227262188659247
2,5000,0.9074228523769808,0.0,0.0,0.8387983571807102
3,5000,0.9065108514190318,0.0,0.0,0.8100524627663542
4,5000,0.9073455759599333,0.0,0.0,0.8164797732415028
0,10000,0.9074228523769808,0.0,0.0,0.8087986883942766
1,10000,0.9074228523769808,0.0,0.0,0.8214179252782193
2,10000,0.9074228523769808,0.0,0.0,0.8375397456279808
3,10000,0.9065108514190318,0.0,0.0,0.8100773266366642
4,10000,0.9073455759599333,0.0,0.0,0.8122860671158739
0,50000,0.9074228523769808,0.0,0.0,0.8153567170111289
1,50000,0.9074228523769808,0.0,0.0,0.8311804451510334
2,50000,0.9074228523769808,0.0,0.0,0.8385499470058294
3,50000,0.9065108514190318,0.0,0.0,0.8098535518038738
4,50000,0.9073455759599333,0.0,0.0,0.8117639258393629
0,100000,0.9074228523769808,0.0,0.0,0.8151993905670376
1,100000,0.9074228523769808,0.0,0.0,0.8333581743508214
2,100000,0.9074228523769808,0.0,0.0,0.8378129968203497
3,100000,0.9065108514190318,0.0,0.0,0.8101187664205143
4,100000,0.9073455759599333,0.0,0.0,0.8112086327357717
0,500000,0.9065888240200167,0.0,0.0,0.8255249735029146
1,500000,0.9074228523769808,0.5,0.009009009009009009,0.8349645601483836
2,500000,0.9057547956630525,0.0,0.0,0.8361486486486487
3,500000,0.8989983305509182,0.08333333333333333,0.009009009009009009,0.82230206287244
4,500000,0.9073455759599333,0.5,0.009009009009009009,0.8118550933638331
0,1000000,0.908256880733945,0.5714285714285714,0.036036036036036036,0.8265600158982513
1,1000000,0.9099249374478732,0.6363636363636364,0.06306306306306306,0.8304517753047165
2,1000000,0.9065888240200167,0.4444444444444444,0.036036036036036036,0.8334989401165871
3,1000000,0.8989983305509182,0.2916666666666667,0.06306306306306306,0.8302336375013468
4,1000000,0.9081803005008348,0.5454545454545454,0.05405405405405406,0.8162808622790223
0,5000000,0.914095079232694,0.6111111111111112,0.1981981981981982,0.8269823131955485
1,5000000,0.9107589658048374,0.5714285714285714,0.14414414414414414,0.8347244303126655
2,5000000,0.9107589658048374,0.5434782608695652,0.22522522522522523,0.8407690779014307
3,5000000,0.9040066777963273,0.4090909090909091,0.08108108108108109,0.8401957615389078
4,5000000,0.9098497495826378,0.5454545454545454,0.16216216216216217,0.827519331659166
