fold,C,accuracy,precision,recall,auc
0,1,0.6338615512927439,0.188212927756654,0.8918918918918919,0.8232147588765237
1,1,0.6447039199332777,0.1917808219178082,0.8828828828828829,0.832778550609433
2,1,0.664720600500417,0.20123203285420946,0.8828828828828829,0.8362562930577638
3,1,0.6686143572621035,0.19831223628691982,0.8468468468468469,0.834128977183255
4,1,0.6535893155258765,0.1935483870967742,0.8648648648648649,0.8230769868304368
0,10,0.6497080900750626,0.1952662721893491,0.8918918918918919,0.8353785771065183
1,10,0.6705587989991659,0.19787234042553192,0.8378378378378378,0.8417461579226286
2,10,0.6847372810675563,0.2026726057906459,0.8198198198198198,0.8350556438791734
3,10,0.7045075125208681,0.21678321678321677,0.8378378378378378,0.8466769437330616
4,10,0.674457429048414,0.2025586353944563,0.8558558558558559,0.8396611883272417
0,50,0.6663886572143453,0.2020618556701031,0.8828828828828829,0.8353454557498675
1,50,0.6905754795663053,0.2085201793721973,0.8378378378378378,0.8437665606783255
2,50,0.6905754795663053,0.2018348623853211,0.7927927927927928,0.8320995627980923
3,50,0.7203672787979967,0.22549019607843138,0.8288288288288288,0.8473399802746628
4,50,0.6894824707846411,0.20935412026726058,0.8468468468468469,0.839802083592332
0,100,0.6672226855713094,0.2012448132780083,0.8738738738738738,0.8355441838897721
1,100,0.6872393661384487,0.2079646017699115,0.8468468468468469,0.8439901298357182
2,100,0.6914095079232694,0.20229885057471264,0.7927927927927928,0.8328365129835719
3,100,0.7203672787979967,0.22549019607843138,0.8288288288288288,0.8484588544386152
4,100,0.6919866444073456,0.20945945945945946,0.8378378378378378,0.8420729837473169
0,500,0.6663886572143453,0.20082815734989648,0.8738738738738738,0.8366289083200849
1,500,0.6914095079232694,0.20898876404494382,0.8378378378378378,0.8472111817700053
2,500,0.6897414512093412,0.20273348519362186,0.8018018018018018,0.8384174615792264
3,500,0.7245409015025042,0.22693266832917705,0.8198198198198198,0.8511607283456408
4,500,0.6936560934891486,0.20909090909090908,0.8288288288288288,0.8489851396935113
0,1000,0.6538782318598833,0.19477911646586346,0.8738738738738738,0.8393779809220986
1,1000,0.6930775646371977,0.21252796420581654,0.8558558558558559,0.8494468733439322
2,1000,0.6922435362802335,0.2054794520547945,0.8108108108108109,0.8425493508214097
3,1000,0.7220367278797997,0.22660098522167488,0.8288288288288288,0.8499589746139884
4,1000,0.7036727879799666,0.2136150234741784,0.8198198198198198,0.852109699395808
0,5000,0.6872393661384487,0.2092511013215859,0.8558558558558559,0.8446691176470589
1,5000,0.7306088407005839,0.235,0.8468468468468469,0.8533883147853737
2,5000,0.7306088407005839,0.2268041237113402,0.7927927927927928,0.8492647058823529
3,5000,0.7696160267111853,0.2622478386167147,0.8198198198198198,0.8526442726074741
4,5000,0.7337228714524207,0.23333333333333334,0.8198198198198198,0.8654781736658462
0,10000,0.7139282735613011,0.22115384615384615,0.8288288288288288,0.8497532458929519
1,10000,0.7464553794829024,0.2440318302387268,0.8288288288288288,0.8563195548489666
2,10000,0.749791492910759,0.23822714681440443,0.7747747747747747,0.8502583465818759
3,10000,0.7963272120200334,0.2861736334405145,0.8018018018018018,0.8526028328236241
4,10000,0.7562604340567612,0.24930747922437674,0.8108108108108109,0.8676910581234407
0,50000,0.7356130108423686,0.2372448979591837,0.8378378378378378,0.8601036698463169
1,50000,0.7781484570475397,0.2672672672672673,0.8018018018018018,0.8535704822469529
2,50000,0.7247706422018348,0.22556390977443608,0.8108108108108109,0.8496373211446739
3,50000,0.7996661101836394,0.29260450160771706,0.8198198198198198,0.8568296907763329
4,50000,0.7504173622704507,0.24731182795698925,0.8288288288288288,0.871561533935039
0,100000,0.7039199332777314,0.22272727272727272,0.8828828828828829,0.8607826576576577
1,100000,0.6455379482902419,0.193359375,0.8918918918918919,0.8512188659247483
2,100000,0.7489574645537949,0.2418478260869565,0.8018018018018018,0.8496704425013248
3,100000,0.7587646076794657,0.2554945054945055,0.8378378378378378,0.8571777849606736
4,100000,0.7504173622704507,0.24731182795698925,0.8288288288288288,0.8681468957457918
0,500000,0.6864053377814846,0.21382289416846653,0.8918918918918919,0.8563857975622682
1,500000,0.6013344453711427,0.17750439367311072,0.9099099099099099,0.8488175675675675
2,500000,0.6630525437864887,0.20404040404040405,0.9099099099099099,0.8531399046104928
3,500000,0.6377295492487479,0.19238095238095237,0.9099099099099099,0.8607333184150111
4,500000,0.6585976627712855,0.20080321285140562,0.9009009009009009,0.8674589953338804
0,1000000,0.780650542118432,0.27245508982035926,0.8198198198198198,0.8589361420243773
1,1000000,0.7723102585487907,0.26176470588235295,0.8018018018018018,0.8443875861155274
2,1000000,0.7522935779816514,0.25133689839572193,0.8468468468468469,0.8533386327503975
3,1000000,0.830550918196995,0.32575757575757575,0.7747747747747747,0.8646949617510794
4,1000000,0.8180300500834724,0.30685920577617326,0.7657657657657657,0.8642349801503435
0,5000000,0.5054211843202668,0.15072463768115943,0.9369369369369369,0.8541832273449921
1,5000000,0.5104253544620517,0.14896755162241887,0.9099099099099099,0.8336314255431903
2,5000000,0.5587989991659716,0.1639871382636656,0.918918918918919,0.8470621356650769
3,5000000,0.5634390651085142,0.16666666666666666,0.9279279279279279,0.8669575739492944
4,5000000,0.5692821368948247,0.16639209225700163,0.9099099099099099,0.8585577297628816
