fold,C,accuracy,precision,recall,auc
0,0.1,0.9074228523769808,0.0,0.0,0.8036731584525701
1,0.1,0.9074228523769808,0.0,0.0,0.8237447005829358
2,0.1,0.9074228523769808,0.0,0.0,0.838988804981452
3,0.1,0.9073455759599333,0.0,0.0,0.7782432846830271
4,0.1,0.9073455759599333,0.0,0.0,0.7658817971605459
0,0.5,0.9074228523769808,0.0,0.0,0.8085668388977212
1,0.5,0.9074228523769808,0.0,0.0,0.8393531399046106
2,0.5,0.9074228523769808,0.0,0.0,0.8413735426603074
3,0.5,0.9073455759599333,0.0,0.0,0.7951921562777129
4,0.5,0.9073455759599333,0.0,0.0,0.7549085423970429
0,1,0.9074228523769808,0.0,0.0,0.8104961579226284
1,1,0.9074228523769808,0.0,0.0,0.8387652358240594
2,1,0.9065888240200167,0.0,0.0,0.8404378643349233
3,1,0.9081803005008348,1.0,0.009009009009009009,0.7970320826806567
4,1,0.9065108514190318,0.0,0.0,0.7573369137306579
0,10,0.9165971643035863,0.7037037037037037,0.17117117117117117,0.8435181505034446
1,10,0.9199332777314428,0.6829268292682927,0.25225225225225223,0.8520551801801803
2,10,0.9165971643035863,0.7619047619047619,0.14414414414414414,0.8591431505034446
3,10,0.9215358931552587,0.7073170731707317,0.26126126126126126,0.8266615281334693
4,10,0.9148580968280468,0.6551724137931034,0.17117117117117117,0.8053324713858293
0,50,0.914095079232694,0.5769230769230769,0.2702702702702703,0.8426652755696873
1,50,0.9157631359466222,0.5862068965517241,0.3063063063063063,0.8548290937996821
2,50,0.9232693911592994,0.7111111111111111,0.2882882882882883,0.8450996952835188
3,50,0.9215358931552587,0.6545454545454545,0.32432432432432434,0.840336656803998
4,50,0.9190317195325542,0.6166666666666667,0.3333333333333333,0.8322600429316162
0,100,0.9132610508757297,0.5614035087719298,0.2882882882882883,0.8444538288288288
1,100,0.9132610508757297,0.5573770491803278,0.3063063063063063,0.8509042130365659
2,100,0.9190992493744787,0.6346153846153846,0.2972972972972973,0.8454474695283518
3,100,0.9181969949916527,0.5970149253731343,0.36036036036036034,0.8395990286514666
