fold,C,accuracy,precision,recall,auc
0,0.1,0.6188490408673895,0.18545454545454546,0.918918918918919,0.8523035903550609
1,0.1,0.6196830692243537,0.1834862385321101,0.9009009009009009,0.8382435744568099
2,0.1,0.6230191826522101,0.17890772128060264,0.8558558558558559,0.8430461711711712
3,0.1,0.6452420701168614,0.193359375,0.8918918918918919,0.8527354401319442
4,0.1,0.6510851419031719,0.19723865877712032,0.9009009009009009,0.854040793323222
0,0.5,0.7105921601334445,0.2255813953488372,0.8738738738738738,0.8637387387387387
1,0.5,0.7447873227689742,0.2454308093994778,0.8468468468468469,0.8529742978272391
2,0.5,0.7339449541284404,0.23195876288659795,0.8108108108108109,0.8583896396396395
3,0.5,0.7787979966611018,0.2680722891566265,0.8018018018018018,0.8645292026156791
4,0.5,0.7404006677796328,0.23404255319148937,0.7927927927927928,0.8631078180296212
0,1,0.7364470391993327,0.24181360201511334,0.8648648648648649,0.8682018415474297
1,1,0.762301918265221,0.2556179775280899,0.8198198198198198,0.8578265765765766
2,1,0.7572977481234362,0.2513812154696133,0.8198198198198198,0.8535042395336513
3,1,0.7963272120200334,0.2861736334405145,0.8018018018018018,0.8709938088962927
4,1,0.7487479131886478,0.23314606741573032,0.7477477477477478,0.8617734569896482
0,10,0.7956630525437864,0.2824675324675325,0.7837837837837838,0.8694273317435082
1,10,0.8140116763969975,0.3028169014084507,0.7747747747747747,0.860857180710122
2,10,0.7956630525437864,0.28525641025641024,0.8018018018018018,0.8563278351881294
3,10,0.830550918196995,0.32706766917293234,0.7837837837837838,0.8822157023628966
4,10,0.8046744574290484,0.2826855123674912,0.7207207207207207,0.864964320346105
0,50,0.8190158465387823,0.30656934306569344,0.7567567567567568,0.8609731054583996
1,50,0.8306922435362802,0.316,0.7117117117117117,0.8454557498675146
2,50,0.823185988323603,0.30943396226415093,0.7387387387387387,0.85593037890832
3,50,0.8572621035058431,0.3706896551724138,0.7747747747747747,0.8785690013840888
4,50,0.835559265442404,0.3237704918032787,0.7117117117117117,0.8675584508151206
0,100,0.8281901584653878,0.3137254901960784,0.7207207207207207,0.8594992050874403
1,100,0.8381984987489575,0.3263598326359833,0.7027027027027027,0.8386824324324323
2,100,0.8365304420350292,0.32793522267206476,0.7297297297297297,0.8556819687334393
3,100,0.8597662771285476,0.3744493392070485,0.7657657657657657,0.8773755356092062
4,100,0.842237061769616,0.32894736842105265,0.6756756756756757,0.8656273568877064
0,500,0.8648874061718098,0.373134328358209,0.6756756756756757,0.8630514705882353
1,500,0.859883236030025,0.3582089552238806,0.6486486486486487,0.8337721913089561
2,500,0.8590492076730609,0.3605769230769231,0.6756756756756757,0.8472360227874934
3,500,0.8756260434056762,0.4010416666666667,0.6936936936936937,0.8624737893367148
4,500,0.8681135225375626,0.37433155080213903,0.6306306306306306,0.8603147765981253
0,1000,0.8640533778148457,0.3602150537634409,0.6036036036036037,0.8529577371489137
1,1000,0.8623853211009175,0.3622448979591837,0.6396396396396397,0.8333912957074722
2,1000,0.8690575479566305,0.38144329896907214,0.6666666666666666,0.8402722575516693
3,1000,0.8831385642737897,0.4207650273224044,0.6936936936936937,0.8562329578888916
4,1000,0.8722871452420701,0.38461538461538464,0.6306306306306306,0.8572233687229087
0,5000,0.8715596330275229,0.37714285714285717,0.5945945945945946,0.8379703232644409
1,5000,0.8707256046705588,0.37640449438202245,0.6036036036036037,0.8197121754107048
2,5000,0.8840700583819849,0.41358024691358025,0.6036036036036037,0.8351301669316374
